varname,count,sum,mean,stddev
CounterJ_LTwo,42,27.1129,0.645544,0.0541794
CounterK_main,22,13.5512,0.615964,0.0232881
CounterK_LOne,22,12.9148,0.587036,0.0537536
CounterK_LTwo,22,14.1876,0.644892,0.0673789
Counter,131,76.5297,0.584196,0.0719955
Failed,69,35.4861,0.514291,0.0704208
CounterB_main,39,24.6582,0.632263,0.0315814
CounterB_LOne,39,23.8121,0.610566,0.0434098
CounterB_LTwo,39,25.5044,0.653959,0.0448939
CounterC_main,29,18.0685,0.623051,0.0208344
CounterC_LOne,29,17.511,0.603827,0.0630064
CounterC_LTwo,29,18.626,0.642276,0.0546668
CounterJ_main,41,25.6513,0.625641,0.0312137
CounterJ_LOne,41,24.938,0.608243,0.0447275
CounterJ_LTwo,41,26.3646,0.643039,0.052332
CounterK_main,22,13.5512,0.615964,0.0232881
CounterK_LOne,22,12.9148,0.587036,0.0537536
CounterK_LTwo,22,14.1876,0.644892,0.0673789
Counter,131,76.5929,0.584679,0.0707198
Failed,69,35.4861,0.514291,0.0704208
CounterB_main,39,24.6582,0.632263,0.0315814
CounterB_LOne,39,23.8121,0.610566,0.0434098
CounterB_LTwo,39,25.5044,0.653959,0.0448939
CounterC_main,29,18.0685,0.623051,0.0208344
CounterC_LOne,29,17.511,0.603827,0.0630064
CounterC_LTwo,29,18.626,0.642276,0.0546668
CounterJ_main,41,25.6513,0.625641,0.0312137
CounterJ_LOne,41,24.938,0.608243,0.0447275
CounterJ_LTwo,41,26.3646,0.643039,0.052332
CounterK_main,22,13.5512,0.615964,0.0232881
CounterK_LOne,22,12.9148,0.587036,0.0537536
CounterK_LTwo,22,14.1876,0.644892,0.0673789
Counter,130,75.1194,0.577842,0.0776483
Failed,70,36.128,0.516114,0.0715518
CounterB_main,39,24.6582,0.632263,0.0315814
CounterB_LOne,39,23.8121,0.610566,0.0434098
CounterB_LTwo,39,25.5044,0.653959,0.0448939
CounterC_main,29,18.0803,0.62346,0.0213287
CounterC_LOne,29,17.6002,0.606903,0.0645005
CounterC_LTwo,29,18.5605,0.640018,0.0538343
CounterJ_main,41,25.6513,0.625641,0.0312137
CounterJ_LOne,41,24.938,0.608243,0.0447275
CounterJ_LTwo,41,26.3646,0.643039,0.052332
CounterK_main,22,13.5512,0.615964,0.0232881
CounterK_LOne,22,12.9148,0.587036,0.0537536
CounterK_LTwo,22,14.1876,0.644892,0.0673789
Counter,129,74.6572,0.578738,0.0782831
Failed,71,36.6251,0.515846,0.0710747
CounterB_main,38,23.9988,0.631546,0.0326258
CounterB_LOne,38,23.1841,0.610108,0.044043
CounterB_LTwo,38,24.8134,0.652984,0.0444712
CounterC_main,29,18.0803,0.62346,0.0213287
CounterC_LOne,29,17.6002,0.606903,0.0645005
CounterC_LTwo,29,18.5605,0.640018,0.0538343
CounterJ_main,41,25.6513,0.625641,0.0312137
CounterJ_LOne,41,24.938,0.608243,0.0447275
CounterJ_LTwo,41,26.3646,0.643039,0.052332
CounterK_main,22,13.5512,0.615964,0.0232881
CounterK_LOne,22,12.9148,0.587036,0.0537536
CounterK_LTwo,22,14.1876,0.644892,0.0673789
Counter,129,77.4686,0.600532,0.0556784
Failed,71,36.6251,0.515846,0.0710747
CounterB_main,38,23.9988,0.631546,0.0326258
CounterB_LOne,38,23.1841,0.610108,0.044043
CounterB_LTwo,38,24.8134,0.652984,0.0444712
CounterC_main,29,18.0803,0.62346,0.0213287
CounterC_LOne,29,17.6002,0.606903,0.0645005
CounterC_LTwo,29,18.5605,0.640018,0.0538343
CounterJ_main,41,25.6513,0.625641,0.0312137
CounterJ_LOne,41,24.938,0.608243,0.0447275
CounterJ_LTwo,41,26.3646,0.643039,0.052332
CounterK_main,21,12.947,0.616525,0.0237107
CounterK_LOne,21,12.3588,0.588517,0.0546194
CounterK_LTwo,21,13.5352,0.644533,0.0690212
Counter,128,74.876,0.584969,0.0717968
Failed,72,37.0106,0.514036,0.0722251
CounterB_main,38,23.9988,0.631546,0.0326258
CounterB_LOne,38,23.1841,0.610108,0.044043
CounterB_LTwo,38,24.8134,0.652984,0.0444712
CounterC_main,29,18.0831,0.623554,0.0213275
CounterC_LOne,29,17.6023,0.606975,0.0644589
CounterC_LTwo,29,18.5639,0.640134,0.0539142
CounterJ_main,41,25.6513,0.625641,0.0312137
CounterJ_LOne,41,24.938,0.608243,0.0447275
CounterJ_LTwo,41,26.3646,0.643039,0.052332
CounterK_main,21,12.947,0.616525,0.0237107
CounterK_LOne,21,12.3588,0.588517,0.0546194
CounterK_LTwo,21,13.5352,0.644533,0.0690212
Counter,127,74.3047,0.585076,0.07231
Failed,73,37.4854,0.513498,0.0718687
CounterB_main,38,23.9988,0.631546,0.0326258
CounterB_LOne,38,23.1841,0.610108,0.044043
CounterB_LTwo,38,24.8134,0.652984,0.0444712
CounterC_main,29,18.1038,0.624269,0.0204215
CounterC_LOne,29,17.6791,0.609623,0.0639979
CounterC_LTwo,29,18.5285,0.638915,0.0543795
CounterJ_main,41,25.6513,0.625641,0.0312137
CounterJ_LOne,41,24.938,0.608243,0.0447275
CounterJ_LTwo,41,26.3646,0.643039,0.052332
CounterK_main,20,12.3869,0.619347,0.0203877
CounterK_LOne,20,11.7388,0.586939,0.0555456
CounterK_LTwo,20,13.0351,0.651755,0.0621414
Counter,127,73.8897,0.581809,0.0756655
Failed,73,37.4854,0.513498,0.0718687
CounterB_main,38,23.9988,0.631546,0.0326258
CounterB_LOne,38,23.1841,0.610108,0.044043
CounterB_LTwo,38,24.8134,0.652984,0.0444712
CounterC_main,28,17.4715,0.623983,0.0207371
CounterC_LOne,28,16.9825,0.606518,0.0629082
CounterC_LTwo,28,17.9606,0.641449,0.0536058
CounterJ_main,41,25.6244,0.624986,0.0323895
CounterJ_LOne,41,24.9702,0.60903,0.0432894
CounterJ_LTwo,41,26.2786,0.640942,0.0536656
CounterK_main,20,12.3869,0.619347,0.0203877
CounterK_LOne,20,11.7388,0.586939,0.0555456
CounterK_LTwo,20,13.0351,0.651755,0.0621414
Counter,124,72.5463,0.585051,0.0758228
Failed,76,39.1532,0.515174,0.0710458
CounterB_main,38,23.9619,0.630577,0.034822
CounterB_LOne,38,23.1754,0.60988,0.0443376
CounterB_LTwo,38,24.7484,0.651275,0.0480156
CounterC_main,28,17.4842,0.624436,0.0208896
CounterC_LOne,28,17.0029,0.607245,0.0626081
CounterC_LTwo,28,17.9656,0.641627,0.0537385
CounterJ_main,41,25.6244,0.624986,0.0323895
CounterJ_LOne,41,24.9702,0.60903,0.0432894
CounterJ_LTwo,41,26.2786,0.640942,0.0536656
CounterK_main,20,12.3869,0.619347,0.0203877
CounterK_LOne,20,11.7388,0.586939,0.0555456
CounterK_LTwo,20,13.0351,0.651755,0.0621414
Counter,124,72.0023,0.580663,0.0774393
Failed,76,39.1532,0.515174,0.0710458
CounterB_main,38,23.9619,0.630577,0.034822
CounterB_LOne,38,23.1754,0.60988,0.0443376
CounterB_LTwo,38,24.7484,0.651275,0.0480156
CounterC_main,26,16.241,0.624654,0.0214093
CounterC_LOne,26,15.8724,0.610475,0.0613416
CounterC_LTwo,26,16.6096,0.638832,0.0537336
CounterJ_main,41,25.5602,0.623419,0.0373285
CounterJ_LOne,41,24.9633,0.608861,0.0447461
CounterJ_LTwo,41,26.157,0.637977,0.0581063
CounterK_main,19,11.7796,0.619977,0.0207455
CounterK_LOne,19,11.1208,0.585305,0.0565712
CounterK_LTwo,19,12.4383,0.654649,0.0624438
Counter,124,72.7068,0.586345,0.0709961
Failed,76,39.1532,0.515174,0.0710458
CounterB_main,38,23.9415,0.630039,0.0364093
CounterB_LOne,38,23.1867,0.610176,0.0439641
CounterB_LTwo,38,24.6963,0.649903,0.0522421
CounterC_main,26,16.241,0.624654,0.0214093
CounterC_LOne,26,15.8724,0.610475,0.0613416
CounterC_LTwo,26,16.6096,0.638832,0.0537336
CounterJ_main,41,25.555,0.623293,0.0378004
CounterJ_LOne,41,25.0102,0.610005,0.0424383
CounterJ_LTwo,41,26.0999,0.636582,0.0625914
CounterK_main,19,11.7796,0.619977,0.0207455
CounterK_LOne,19,11.1208,0.585305,0.0565712
CounterK_LTwo,19,12.4383,0.654649,0.0624438
Counter,122,71.7768,0.588335,0.0672463
Failed,78,40.0661,0.513668,0.0707398
CounterB_main,38,23.9415,0.630039,0.0364093
CounterB_LOne,38,23.1867,0.610176,0.0439641
CounterB_LTwo,38,24.6963,0.649903,0.0522421
CounterC_main,26,16.241,0.624654,0.0214093
CounterC_LOne,26,15.8724,0.610475,0.0613416
CounterC_LTwo,26,16.6096,0.638832,0.0537336
CounterJ_main,41,25.5922,0.624201,0.0346693
CounterJ_LOne,41,25.0846,0.61182,0.0412534
CounterJ_LTwo,41,26.0999,0.636582,0.0625914
CounterK_main,19,11.7796,0.619977,0.0207455
CounterK_LOne,19,11.1208,0.585305,0.0565712
CounterK_LTwo,19,12.4383,0.654649,0.0624438
Counter,121,70.6696,0.584046,0.0750016
Failed,79,40.6905,0.51507,0.0713807
CounterB_main,38,23.9415,0.630039,0.0364093
CounterB_LOne,38,23.1867,0.610176,0.0439641
CounterB_LTwo,38,24.6963,0.649903,0.0522421
CounterC_main,25,15.6183,0.624732,0.021847
CounterC_LOne,25,15.2126,0.608504,0.0617607
CounterC_LTwo,25,16.024,0.640959,0.053713
CounterJ_main,41,25.5646,0.623528,0.0354977
CounterJ_LOne,41,25.0225,0.610305,0.0430594
CounterJ_LTwo,41,26.1068,0.63675,0.0624944
CounterK_main,18,11.1536,0.619644,0.0197806
CounterK_LOne,18,10.5816,0.587867,0.0568733
CounterK_LTwo,18,11.7256,0.651422,0.0621448
Counter,121,70.9222,0.586134,0.0765802
Failed,79,40.6905,0.51507,0.0713807
CounterB_main,38,23.9906,0.631333,0.0338038
CounterB_LOne,38,23.2084,0.610749,0.0449482
CounterB_LTwo,38,24.7729,0.651917,0.0464353
CounterC_main,25,15.6183,0.624732,0.021847
CounterC_LOne,25,15.2126,0.608504,0.0617607
CounterC_LTwo,25,16.024,0.640959,0.053713
CounterJ_main,40,24.8231,0.620578,0.0436646
CounterJ_LOne,40,24.2274,0.605685,0.0563274
CounterJ_LTwo,40,25.4189,0.635471,0.0613401
CounterK_main,18,11.1536,0.619644,0.0197806
CounterK_LOne,18,10.5816,0.587867,0.0568733
CounterK_LTwo,18,11.7256,0.651422,0.0621448
Counter,121,71.4341,0.590365,0.0683189
Failed,79,40.6905,0.51507,0.0713807
CounterB_main,38,24.0474,0.632826,0.0308337
CounterB_LOne,38,23.2122,0.610847,0.0447738
CounterB_LTwo,38,24.8826,0.654805,0.0432749
CounterC_main,25,15.6183,0.624732,0.021847
CounterC_LOne,25,15.2126,0.608504,0.0617607
CounterC_LTwo,25,16.024,0.640959,0.053713
CounterJ_main,40,25.0256,0.625639,0.0325609
CounterJ_LOne,40,24.4425,0.611064,0.0435106
CounterJ_LTwo,40,25.6086,0.640214,0.0509366
CounterK_main,18,11.1536,0.619644,0.0197806
CounterK_LOne,18,10.5816,0.587867,0.0568733
CounterK_LTwo,18,11.7256,0.651422,0.0621448
Counter,121,71.4278,0.590312,0.0710009
Failed,79,40.6905,0.51507,0.0713807
CounterB_main,38,24.0474,0.632826,0.0308337
CounterB_LOne,38,23.2122,0.610847,0.0447738
CounterB_LTwo,38,24.8826,0.654805,0.0432749
CounterC_main,25,15.6183,0.624732,0.021847
CounterC_LOne,25,15.2126,0.608504,0.0617607
CounterC_LTwo,25,16.024,0.640959,0.053713
CounterJ_main,40,25.066,0.626649,0.0317174
CounterJ_LOne,40,24.5392,0.613481,0.04379
CounterJ_LTwo,40,25.5927,0.639817,0.0514626
CounterK_main,18,11.1536,0.619644,0.0197806
CounterK_LOne,18,10.5816,0.587867,0.0568733
CounterK_LTwo,18,11.7256,0.651422,0.0621448
Counter,121,70.8425,0.585475,0.0748797
Failed,79,40.6905,0.51507,0.0713807
CounterB_main,38,24.0474,0.632826,0.0308337
CounterB_LOne,38,23.2122,0.610847,0.0447738
CounterB_LTwo,38,24.8826,0.654805,0.0432749
CounterC_main,25,15.6266,0.625066,0.0216395
CounterC_LOne,25,15.2414,0.609658,0.0622806
CounterC_LTwo,25,16.0118,0.640473,0.0542079
CounterJ_main,40,25.066,0.626649,0.0317174
CounterJ_LOne,40,24.5392,0.613481,0.04379
CounterJ_LTwo,40,25.5927,0.639817,0.0514626
CounterK_main,18,11.1536,0.619644,0.0197806
CounterK_LOne,18,10.5816,0.587867,0.0568733
CounterK_LTwo,18,11.7256,0.651422,0.0621448
Counter,121,71.738,0.592876,0.0682462
Failed,79,40.6905,0.51507,0.0713807
CounterB_main,38,24.0474,0.632826,0.0308337
CounterB_LOne,38,23.2122,0.610847,0.0447738
CounterB_LTwo,38,24.8826,0.654805,0.0432749
CounterC_main,25,15.6266,0.625066,0.0216395
CounterC_LOne,25,15.2414,0.609658,0.0622806
CounterC_LTwo,25,16.0118,0.640473,0.0542079
CounterJ_main,40,25.074,0.626851,0.0314386
CounterJ_LOne,40,24.5056,0.612639,0.0441704
CounterJ_LTwo,40,25.6425,0.641062,0.0498037
CounterK_main,18,11.1536,0.619644,0.0197806
CounterK_LOne,18,10.5816,0.587867,0.0568733
CounterK_LTwo,18,11.7256,0.651422,0.0621448
Counter,121,71.2196,0.588592,0.0696648
Failed,79,40.6905,0.51507,0.0713807
CounterB_main,38,24.0474,0.632826,0.0308337
CounterB_LOne,38,23.2122,0.610847,0.0447738
CounterB_LTwo,38,24.8826,0.654805,0.0432749
CounterC_main,25,15.6266,0.625066,0.0216395
CounterC_LOne,25,15.2414,0.609658,0.0622806
CounterC_LTwo,25,16.0118,0.640473,0.0542079
CounterJ_main,40,25.074,0.626851,0.0314386
CounterJ_LOne,40,24.5056,0.612639,0.0441704
CounterJ_LTwo,40,25.6425,0.641062,0.0498037
CounterK_main,18,11.1541,0.619672,0.0198078
CounterK_LOne,18,10.5004,0.583355,0.0512336
CounterK_LTwo,18,11.8078,0.655989,0.0600035
Counter,120,70.6663,0.588886,0.0719839
Failed,80,41.3046,0.516308,0.0717869
CounterB_main,38,24.0474,0.632826,0.0308337
CounterB_LOne,38,23.2122,0.610847,0.0447738
CounterB_LTwo,38,24.8826,0.654805,0.0432749
CounterC_main,25,15.6266,0.625066,0.0216395
CounterC_LOne,25,15.2414,0.609658,0.0622806
CounterC_LTwo,25,16.0118,0.640473,0.0542079
CounterJ_main,40,25.0429,0.626072,0.0327784
CounterJ_LOne,40,24.5092,0.612729,0.0440994
CounterJ_LTwo,40,25.5766,0.639415,0.0522428
CounterK_main,18,11.1541,0.619672,0.0198078
CounterK_LOne,18,10.5004,0.583355,0.0512336
CounterK_LTwo,18,11.8078,0.655989,0.0600035
Counter,120,70.6684,0.588903,0.0699759
Failed,80,41.3046,0.516308,0.0717869
CounterB_main,38,24.0474,0.632826,0.0308337
CounterB_LOne,38,23.2122,0.610847,0.0447738
CounterB_LTwo,38,24.8826,0.654805,0.0432749
CounterC_main,25,15.6266,0.625066,0.0216395
CounterC_LOne,25,15.2414,0.609658,0.0622806
CounterC_LTwo,25,16.0118,0.640473,0.0542079
CounterJ_main,39,24.4287,0.626378,0.0331489
CounterJ_LOne,39,23.8901,0.612568,0.0446639
CounterJ_LTwo,39,24.9674,0.640189,0.052693
CounterK_main,18,11.1541,0.619672,0.0198078
CounterK_LOne,18,10.5004,0.583355,0.0512336
CounterK_LTwo,18,11.8078,0.655989,0.0600035
Counter,120,70.0899,0.584082,0.0750853
Failed,80,41.3046,0.516308,0.0717869
CounterB_main,38,24.0474,0.632826,0.0308337
CounterB_LOne,38,23.2122,0.610847,0.0447738
CounterB_LTwo,38,24.8826,0.654805,0.0432749
CounterC_main,25,15.6266,0.625066,0.0216395
CounterC_LOne,25,15.2414,0.609658,0.0622806
CounterC_LTwo,25,16.0118,0.640473,0.0542079
CounterJ_main,39,24.3667,0.624788,0.0377323
CounterJ_LOne,39,23.8897,0.612556,0.0446725
CounterJ_LTwo,39,24.8438,0.63702,0.0621362
CounterK_main,18,11.1541,0.619672,0.0198078
CounterK_LOne,18,10.5004,0.583355,0.0512336
CounterK_LTwo,18,11.8078,0.655989,0.0600035
Counter,120,70.6649,0.588874,0.0670602
Failed,80,41.3046,0.516308,0.0717869
CounterB_main,38,24.0557,0.633046,0.0308844
CounterB_LOne,38,23.1896,0.610254,0.0449262
CounterB_LTwo,38,24.9218,0.655838,0.0438855
CounterC_main,25,15.6266,0.625066,0.0216395
CounterC_LOne,25,15.2414,0.609658,0.0622806
CounterC_LTwo,25,16.0118,0.640473,0.0542079
CounterJ_main,39,24.2896,0.62281,0.0458596
CounterJ_LOne,39,23.7345,0.608577,0.0536571
CounterJ_LTwo,39,24.8447,0.637043,0.0620501
CounterK_main,18,11.1541,0.619672,0.0198078
CounterK_LOne,18,10.5004,0.583355,0.0512336
CounterK_LTwo,18,11.8078,0.655989,0.0600035
Counter,120,70.1009,0.584175,0.0787207
Failed,80,41.3046,0.516308,0.0717869
CounterB_main,38,24.0557,0.633046,0.0308844
CounterB_LOne,38,23.1896,0.610254,0.0449262
CounterB_LTwo,38,24.9218,0.655838,0.0438855
CounterC_main,25,15.6266,0.625066,0.0216395
CounterC_LOne,25,15.2414,0.609658,0.0622806
CounterC_LTwo,25,16.0118,0.640473,0.0542079
CounterJ_main,39,24.4322,0.626465,0.0329654
CounterJ_LOne,39,23.878,0.612255,0.0449362
CounterJ_LTwo,39,24.9863,0.640675,0.051762
CounterK_main,18,11.1541,0.619672,0.0198078
CounterK_LOne,18,10.5004,0.583355,0.0512336
CounterK_LTwo,18,11.8078,0.655989,0.0600035
Counter,120,70.847,0.590392,0.070794
Failed,80,41.3046,0.516308,0.0717869
CounterB_main,38,24.0557,0.633046,0.0308844
CounterB_LOne,38,23.1896,0.610254,0.0449262
CounterB_LTwo,38,24.9218,0.655838,0.0438855
CounterC_main,25,15.6425,0.625702,0.0203215
CounterC_LOne,25,15.2741,0.610966,0.0599349
CounterC_LTwo,25,16.0109,0.640437,0.0541928
CounterJ_main,39,24.4322,0.626465,0.0329654
CounterJ_LOne,39,23.878,0.612255,0.0449362
CounterJ_LTwo,39,24.9863,0.640675,0.051762
CounterK_main,18,11.1541,0.619672,0.0198078
CounterK_LOne,18,10.5004,0.583355,0.0512336
CounterK_LTwo,18,11.8078,0.655989,0.0600035
Counter,120,72.6339,0.605283,0.0541024
Failed,80,41.3046,0.516308,0.0717869
CounterB_main,38,24.0557,0.633046,0.0308844
CounterB_LOne,38,23.1896,0.610254,0.0449262
CounterB_LTwo,38,24.9218,0.655838,0.0438855
CounterC_main,25,15.6425,0.625702,0.0203215
CounterC_LOne,25,15.2741,0.610966,0.0599349
CounterC_LTwo,25,16.0109,0.640437,0.0541928
CounterJ_main,39,24.5331,0.629054,0.0315786
CounterJ_LOne,39,23.9259,0.613484,0.0443528
CounterJ_LTwo,39,25.1403,0.644624,0.0507316
CounterK_main,18,11.1541,0.619672,0.0198078
CounterK_LOne,18,10.5004,0.583355,0.0512336
CounterK_LTwo,18,11.8078,0.655989,0.0600035
Counter,120,70.0725,0.583937,0.0780774
Failed,80,41.3046,0.516308,0.0717869
CounterB_main,38,24.0557,0.633046,0.0308844
CounterB_LOne,38,23.1896,0.610254,0.0449262
CounterB_LTwo,38,24.9218,0.655838,0.0438855
CounterC_main,25,15.6581,0.626325,0.0202536
CounterC_LOne,25,15.2487,0.609948,0.0594525
CounterC_LTwo,25,16.0676,0.642702,0.0528082
CounterJ_main,39,24.5331,0.629054,0.0315786
CounterJ_LOne,39,23.9259,0.613484,0.0443528
CounterJ_LTwo,39,25.1403,0.644624,0.0507316
CounterK_main,18,11.1558,0.619766,0.0199078
CounterK_LOne,18,10.4577,0.580981,0.0510335
CounterK_LTwo,18,11.8539,0.658551,0.0616018
Counter,120,70.5776,0.588146,0.0738149
Failed,80,41.3046,0.516308,0.0717869
CounterB_main,38,24.0487,0.632861,0.0308378
CounterB_LOne,38,23.1596,0.609463,0.0455868
CounterB_LTwo,38,24.9379,0.656259,0.0443955
CounterC_main,25,15.6581,0.626325,0.0202536
CounterC_LOne,25,15.2487,0.609948,0.0594525
CounterC_LTwo,25,16.0676,0.642702,0.0528082
CounterJ_main,39,24.5331,0.629054,0.0315786
CounterJ_LOne,39,23.9259,0.613484,0.0443528
CounterJ_LTwo,39,25.1403,0.644624,0.0507316
CounterK_main,18,11.1558,0.619766,0.0199078
CounterK_LOne,18,10.4577,0.580981,0.0510335
CounterK_LTwo,18,11.8539,0.658551,0.0616018
Counter,120,70.9271,0.591059,0.0709303
Failed,80,41.3046,0.516308,0.0717869
CounterB_main,38,24.0487,0.632861,0.0308378
CounterB_LOne,38,23.1596,0.609463,0.0455868
CounterB_LTwo,38,24.9379,0.656259,0.0443955
CounterC_main,25,15.6581,0.626325,0.0202536
CounterC_LOne,25,15.2487,0.609948,0.0594525
CounterC_LTwo,25,16.0676,0.642702,0.0528082
CounterJ_main,39,24.5331,0.629054,0.0315786
CounterJ_LOne,39,23.9259,0.613484,0.0443528
CounterJ_LTwo,39,25.1403,0.644624,0.0507316
CounterK_main,18,11.1558,0.619766,0.0199078
CounterK_LOne,18,10.4577,0.580981,0.0510335
CounterK_LTwo,18,11.8539,0.658551,0.0616018
Counter,118,69.2262,0.586662,0.0755541
Failed,82,42.5234,0.518578,0.0724726
CounterB_main,38,24.0314,0.632405,0.0309024
CounterB_LOne,38,23.1483,0.609166,0.0459658
CounterB_LTwo,38,24.9145,0.655644,0.043701
CounterC_main,25,15.6581,0.626325,0.0202536
CounterC_LOne,25,15.2487,0.609948,0.0594525
CounterC_LTwo,25,16.0676,0.642702,0.0528082
CounterJ_main,39,24.5331,0.629054,0.0315786
CounterJ_LOne,39,23.9259,0.613484,0.0443528
CounterJ_LTwo,39,25.1403,0.644624,0.0507316
CounterK_main,18,11.1558,0.619766,0.0199078
CounterK_LOne,18,10.4577,0.580981,0.0510335
CounterK_LTwo,18,11.8539,0.658551,0.0616018
Counter,117,69.4253,0.593379,0.0674047
Failed,83,43.0834,0.519077,0.0721729
CounterB_main,37,23.3954,0.632308,0.0313228
CounterB_LOne,37,22.5545,0.609581,0.0465276
CounterB_LTwo,37,24.2363,0.655035,0.0441401
CounterC_main,25,15.6715,0.626858,0.0206927
CounterC_LOne,25,15.2449,0.609796,0.0593262
CounterC_LTwo,25,16.098,0.643921,0.052449
CounterJ_main,38,23.9503,0.630272,0.0310601
CounterJ_LOne,38,23.3493,0.614455,0.0445255
CounterJ_LTwo,38,24.5514,0.646088,0.0505701
CounterK_main,18,11.1558,0.619766,0.0199078
CounterK_LOne,18,10.4577,0.580981,0.0510335
CounterK_LTwo,18,11.8539,0.658551,0.0616018
Counter,117,69.3815,0.593004,0.0697111
Failed,83,43.0834,0.519077,0.0721729
CounterB_main,37,23.4184,0.63293,0.0312941
CounterB_LOne,37,22.6005,0.610825,0.0454029
CounterB_LTwo,37,24.2363,0.655035,0.0441401
CounterC_main,24,15.0287,0.626198,0.0208668
CounterC_LOne,24,14.6521,0.610506,0.0604935
CounterC_LTwo,24,15.4053,0.64189,0.052563
CounterJ_main,38,23.9503,0.630272,0.0310601
CounterJ_LOne,38,23.3493,0.614455,0.0445255
CounterJ_LTwo,38,24.5514,0.646088,0.0505701
CounterK_main,18,11.1558,0.619766,0.0199078
CounterK_LOne,18,10.4577,0.580981,0.0510335
CounterK_LTwo,18,11.8539,0.658551,0.0616018
Counter,117,69.0503,0.590173,0.071984
Failed,83,43.0834,0.519077,0.0721729
CounterB_main,37,23.4184,0.63293,0.0312941
CounterB_LOne,37,22.6005,0.610825,0.0454029
CounterB_LTwo,37,24.2363,0.655035,0.0441401
CounterC_main,24,15.071,0.627959,0.0208354
CounterC_LOne,24,14.6992,0.612467,0.0616663
CounterC_LTwo,24,15.4428,0.64345,0.0514447
CounterJ_main,38,23.9503,0.630272,0.0310601
CounterJ_LOne,38,23.3493,0.614455,0.0445255
CounterJ_LTwo,38,24.5514,0.646088,0.0505701
CounterK_main,18,11.1558,0.619766,0.0199078
CounterK_LOne,18,10.4577,0.580981,0.0510335
CounterK_LTwo,18,11.8539,0.658551,0.0616018
